X,Y,SPECIES NAME
4270500,2917500,Acer pseudoplatanus
4337500,2696500,Acer pseudoplatanus
4279500,3157500,Acer pseudoplatanus
4337500,3412500,Acer pseudoplatanus
4417500,2950500,Acer pseudoplatanus
4093500,3114500,Acer pseudoplatanus
4276500,2907500,Acer pseudoplatanus
4476500,3003500,Acer pseudoplatanus
4242500,2793500,Acer pseudoplatanus
4099500,2965500,Acer pseudoplatanus
4081500,3010500,Acer pseudoplatanus
4473500,2787500,Acer pseudoplatanus
4599500,3086500,Acer pseudoplatanus
4291500,2865500,Acer pseudoplatanus
4555500,2893500,Acer pseudoplatanus
4289500,3021500,Acer pseudoplatanus
4219500,2876500,Acer pseudoplatanus
4328500,3050500,Acer pseudoplatanus
4145500,2997500,Acer pseudoplatanus
4223500,2870500,Acer pseudoplatanus
4281500,2805500,Acer pseudoplatanus
4290500,2907500,Acer pseudoplatanus
4176500,2768500,Acer pseudoplatanus
4475500,2731500,Acer pseudoplatanus
4282500,3521500,Acer pseudoplatanus
4146500,2775500,Acer pseudoplatanus
4272500,3221500,Acer pseudoplatanus
4478500,2763500,Acer pseudoplatanus
4379500,2869000,Acer pseudoplatanus
4535500,2873500,Acer pseudoplatanus
4396500,3153500,Acer pseudoplatanus
4525500,3405500,Acer pseudoplatanus
4461500,3383500,Acer pseudoplatanus
4295500,2805500,Acer pseudoplatanus
4371500,3168500,Acer pseudoplatanus
4535500,2745500,Acer pseudoplatanus
4140500,2893500,Acer pseudoplatanus
4358500,3412500,Acer pseudoplatanus
4460000,2871000,Acer pseudoplatanus
4256500,2753500,Acer pseudoplatanus
4264500,2741500,Acer pseudoplatanus
4124500,2992500,Acer pseudoplatanus
4292500,3213500,Acer pseudoplatanus
4337500,2842500,Acer pseudoplatanus
4304500,2895500,Acer pseudoplatanus
4225500,2958500,Acer pseudoplatanus
4465500,3461500,Acer pseudoplatanus
4350500,2756500,Acer pseudoplatanus
4223500,2874500,Acer pseudoplatanus
4248500,2911500,Acer pseudoplatanus
4169500,2952500,Acer pseudoplatanus
4534500,3073500,Acer pseudoplatanus
4310500,2733500,Acer pseudoplatanus
4349500,2806500,Acer pseudoplatanus
4472500,2827500,Acer pseudoplatanus
4268500,2889500,Acer pseudoplatanus
4358500,2932500,Acer pseudoplatanus
4363500,3172500,Acer pseudoplatanus
4238500,2776500,Acer pseudoplatanus
4234500,2780000,Acer pseudoplatanus
4165500,3001500,Acer pseudoplatanus
4305500,2847500,Acer pseudoplatanus
4345500,2858500,Acer pseudoplatanus
4463500,2727500,Acer pseudoplatanus
4226500,2922500,Acer pseudoplatanus
4093500,2977500,Acer pseudoplatanus
4522500,2772500,Acer pseudoplatanus
4375500,3090500,Acer pseudoplatanus
4192500,3234500,Acer pseudoplatanus
4385500,3401500,Acer pseudoplatanus
4291000,3123000,Acer pseudoplatanus
4323500,3156500,Acer pseudoplatanus
4116500,2986500,Acer pseudoplatanus
4404500,2701500,Acer pseudoplatanus
4298500,2749500,Acer pseudoplatanus
4364500,2754500,Acer pseudoplatanus
4273500,2815500,Acer pseudoplatanus
4561500,2805500,Acer pseudoplatanus
4343500,2812500,Acer pseudoplatanus
4381500,2809500,Acer pseudoplatanus
4569500,3433500,Acer pseudoplatanus
4495500,2872500,Acer pseudoplatanus
4324500,2788500,Acer pseudoplatanus
4146500,3059500,Acer pseudoplatanus
4508500,3062500,Acer pseudoplatanus
4470000,3386500,Acer pseudoplatanus
4555500,3494500,Acer pseudoplatanus
4182500,2776500,Acer pseudoplatanus
4167500,2719500,Acer pseudoplatanus
4242500,2795500,Acer pseudoplatanus
4565500,3408500,Acer pseudoplatanus
4242500,2799500,Acer pseudoplatanus
4531500,2733500,Acer pseudoplatanus
4268500,2911500,Acer pseudoplatanus
4121500,3056500,Acer pseudoplatanus
4540500,3269500,Acer pseudoplatanus
4200500,2918500,Acer pseudoplatanus
4275500,2817500,Acer pseudoplatanus
4579500,3427500,Acer pseudoplatanus
4262500,2789500,Acer pseudoplatanus
4354500,2874500,Acer pseudoplatanus
4163500,2823500,Acer pseudoplatanus
4349500,2848500,Acer pseudoplatanus
4340500,3374500,Acer pseudoplatanus
4475500,3401500,Acer pseudoplatanus
4283500,2859000,Acer pseudoplatanus
4300500,2906500,Acer pseudoplatanus
4335500,3116500,Acer pseudoplatanus
4330500,3048500,Acer pseudoplatanus
4515500,3448500,Acer pseudoplatanus
4320500,2918500,Acer pseudoplatanus
4110500,2916500,Acer pseudoplatanus
4387500,3013500,Acer pseudoplatanus
4540500,3441500,Acer pseudoplatanus
4197500,2718500,Acer pseudoplatanus
4360500,3132500,Acer pseudoplatanus
4199500,2722500,Acer pseudoplatanus
4252500,2759500,Acer pseudoplatanus
4154500,3045500,Acer pseudoplatanus
4102500,2951500,Acer pseudoplatanus
4359500,2888500,Acer pseudoplatanus
4371500,2814500,Acer pseudoplatanus
4362500,2854500,Acer pseudoplatanus
4195500,2844500,Acer pseudoplatanus
4046500,2996500,Acer pseudoplatanus
4600500,3096500,Acer pseudoplatanus
4586500,3097500,Acer pseudoplatanus
4244500,2793500,Acer pseudoplatanus
4383500,2799500,Acer pseudoplatanus
4186500,3056500,Acer pseudoplatanus
4313500,2849500,Acer pseudoplatanus
4220500,3167000,Acer pseudoplatanus
4307500,2837500,Acer pseudoplatanus
4164500,2779500,Acer pseudoplatanus
4232500,2752500,Acer pseudoplatanus
4168500,2944500,Acer pseudoplatanus
4089500,3004500,Acer pseudoplatanus
4233500,2978500,Acer pseudoplatanus
4204500,2752500,Acer pseudoplatanus
4131000,3137000,Acer pseudoplatanus
4186500,2936500,Acer pseudoplatanus
4238500,2762500,Acer pseudoplatanus
4298500,2949500,Acer pseudoplatanus
4568500,2850500,Acer pseudoplatanus
4129500,3056500,Acer pseudoplatanus
4408500,2705500,Acer pseudoplatanus
4252500,2879500,Acer pseudoplatanus
4258500,2779500,Acer pseudoplatanus
4506500,3360500,Acer pseudoplatanus
4169500,2990500,Acer pseudoplatanus
4363500,3168500,Acer pseudoplatanus
4159500,3025500,Acer pseudoplatanus
4296500,2937500,Acer pseudoplatanus
4244500,2917500,Acer pseudoplatanus
4178500,2742500,Acer pseudoplatanus
4266500,2909500,Acer pseudoplatanus
4292500,2797500,Acer pseudoplatanus
4599500,3090500,Acer pseudoplatanus
4589500,3083500,Acer pseudoplatanus
4237500,2868500,Acer pseudoplatanus
4196500,2748500,Acer pseudoplatanus
4505500,3088500,Acer pseudoplatanus
4567500,2886500,Acer pseudoplatanus
4306500,2875500,Acer pseudoplatanus
4170500,2768500,Acer pseudoplatanus
4280500,2903500,Acer pseudoplatanus
4531500,3107500,Acer pseudoplatanus
4357500,3147500,Acer pseudoplatanus
4208500,2744500,Acer pseudoplatanus
4162500,2767500,Acer pseudoplatanus
4349500,3244500,Acer pseudoplatanus
4329500,2798500,Acer pseudoplatanus
4477500,3099500,Acer pseudoplatanus
4337500,3394500,Acer pseudoplatanus
4431500,3084500,Acer pseudoplatanus
4377500,2796500,Acer pseudoplatanus
4535500,2741500,Acer pseudoplatanus
4074500,2918500,Acer pseudoplatanus
4265500,2813500,Acer pseudoplatanus
4272500,2791500,Acer pseudoplatanus
4419500,2714500,Acer pseudoplatanus
4170500,2780500,Acer pseudoplatanus
4410500,3225500,Acer pseudoplatanus
4276500,3477500,Acer pseudoplatanus
4289500,2831500,Acer pseudoplatanus
4581500,3428500,Acer pseudoplatanus
4201500,2874500,Acer pseudoplatanus
4115500,2936500,Acer pseudoplatanus
4409500,3023500,Acer pseudoplatanus
4167500,2811500,Acer pseudoplatanus
4348500,3468500,Acer pseudoplatanus
4480500,3069500,Acer pseudoplatanus
4218500,2790500,Acer pseudoplatanus
4299500,2855500,Acer pseudoplatanus
4299500,3101500,Acer pseudoplatanus
4375500,3032500,Acer pseudoplatanus
4288500,2925500,Acer pseudoplatanus
4198500,2730500,Acer pseudoplatanus
4303500,2873500,Acer pseudoplatanus
4278500,2907500,Acer pseudoplatanus
4139500,2725500,Acer pseudoplatanus
4239500,2864500,Acer pseudoplatanus
4214500,2886500,Acer pseudoplatanus
4342500,3460500,Acer pseudoplatanus
4403500,2725500,Acer pseudoplatanus
4536500,2849500,Acer pseudoplatanus
4422500,3078500,Acer pseudoplatanus
4110500,2999500,Acer pseudoplatanus
4540500,2857500,Acer pseudoplatanus
4174500,2740500,Acer pseudoplatanus
4095500,2937500,Acer pseudoplatanus
4420500,2706500,Acer pseudoplatanus
4220500,2756500,Acer pseudoplatanus
4122500,2994500,Acer pseudoplatanus
4379500,3173500,Acer pseudoplatanus
4170500,2776500,Acer pseudoplatanus
4168500,2946500,Acer pseudoplatanus
4219500,2854500,Acer pseudoplatanus
4154500,2787500,Acer pseudoplatanus
4147500,3147500,Acer pseudoplatanus
4329500,2838500,Acer pseudoplatanus
4262500,2761500,Acer pseudoplatanus
4266500,2917500,Acer pseudoplatanus
4363500,2786500,Acer pseudoplatanus
4306500,3489500,Acer pseudoplatanus
4152500,3051500,Acer pseudoplatanus
4359500,3454500,Acer pseudoplatanus
4084000,2955000,Acer pseudoplatanus
4162500,2735500,Acer pseudoplatanus
4182500,2738500,Acer pseudoplatanus
4323500,2842500,Acer pseudoplatanus
4114500,3068500,Acer pseudoplatanus
4266500,2773500,Acer pseudoplatanus
4415500,3092500,Acer pseudoplatanus
4191500,2726500,Acer pseudoplatanus
4380500,3071500,Acer pseudoplatanus
4543500,3103500,Acer pseudoplatanus
4353500,2956500,Acer pseudoplatanus
4225500,2808500,Acer pseudoplatanus
4279500,2851500,Acer pseudoplatanus
4257500,2823500,Acer pseudoplatanus
4220500,2914500,Acer pseudoplatanus
4499500,2736500,Acer pseudoplatanus
4232500,2788500,Acer pseudoplatanus
4246500,2775500,Acer pseudoplatanus
4124500,2994500,Acer pseudoplatanus
4274500,2797500,Acer pseudoplatanus
4240500,2786500,Acer pseudoplatanus
4357500,3392500,Acer pseudoplatanus
4186500,3060500,Acer pseudoplatanus
4559500,2893500,Acer pseudoplatanus
4290500,2937500,Acer pseudoplatanus
4411500,3033500,Acer pseudoplatanus
4256500,3205500,Acer pseudoplatanus
4274500,2747500,Acer pseudoplatanus
