X,Y,SPECIES NAME
4180500,2764500,Picea abies
4176500,3082500,Picea abies
4074500,3029500,Picea abies
4355500,3184500,Picea abies
4166500,2759500,Picea abies
4566500,3082500,Picea abies
4175500,3106500,Picea abies
4093500,3040500,Picea abies
4340500,3192500,Picea abies
4430500,2766500,Picea abies
4459500,3035500,Picea abies
4457500,2787500,Picea abies
4195500,3134500,Picea abies
4411500,2709500,Picea abies
4330500,2876500,Picea abies
4079500,3018500,Picea abies
4168500,3062500,Picea abies
4542500,3069500,Picea abies
4362500,3052500,Picea abies
4337500,2854500,Picea abies
4201500,2834500,Picea abies
4437500,3035000,Picea abies
4163500,3131500,Picea abies
4592500,2859500,Picea abies
4397500,2817500,Picea abies
4103500,3039500,Picea abies
4209500,2802500,Picea abies
4186500,2762500,Picea abies
4221500,2828500,Picea abies
4191500,3106500,Picea abies
4415500,3026500,Picea abies
4254500,2757500,Picea abies
4188000,3103500,Picea abies
4447500,3038500,Picea abies
4060500,2995500,Picea abies
4098500,3023500,Picea abies
4258500,3377500,Picea abies
4053500,3014500,Picea abies
4368500,3050500,Picea abies
4141500,3187500,Picea abies
4280500,2731500,Picea abies
4308500,2743500,Picea abies
4326500,2770500,Picea abies
4289500,3289500,Picea abies
4254500,3053500,Picea abies
4361500,2742500,Picea abies
4107500,2967500,Picea abies
4310500,2745500,Picea abies
4348000,3181500,Picea abies
4107500,3017500,Picea abies
4111500,3077500,Picea abies
4607500,3109500,Picea abies
4169500,2723500,Picea abies
4359500,3184500,Picea abies
4079500,3006500,Picea abies
4128500,3108500,Picea abies
4302500,3459500,Picea abies
4383500,2721500,Picea abies
4183500,3114500,Picea abies
4513500,2804500,Picea abies
4188500,2774500,Picea abies
4166500,2737500,Picea abies
4473500,3041500,Picea abies
4271500,2805500,Picea abies
4274500,3037500,Picea abies
4070500,3001500,Picea abies
4064500,3029500,Picea abies
4348500,3180500,Picea abies
4509500,3038500,Picea abies
4200500,2756500,Picea abies
4351500,2804500,Picea abies
4491500,3040500,Picea abies
4466500,3055500,Picea abies
4180500,2762500,Picea abies
4287500,2841500,Picea abies
4343500,3168500,Picea abies
4478500,3439500,Picea abies
4092500,2945500,Picea abies
4176500,2794500,Picea abies
4362500,2904500,Picea abies
4446500,3062500,Picea abies
4079500,3004500,Picea abies
4101500,3013500,Picea abies
4138500,2989500,Picea abies
4371500,2818500,Picea abies
4195500,3114500,Picea abies
4301500,2861500,Picea abies
4626500,3096500,Picea abies
4156500,3073500,Picea abies
4227500,3134500,Picea abies
4186500,3086500,Picea abies
